value,gesture
0;2;-12;-1;0;-1;2;8;-2;-22;-2;-3;-2;-3;1;-3;3;-3;2;-3;-2;-3;0;9;2;8;4;1;0;-1;-2;-5;0;20;-17;-3;0;0;-2;-8;-3;6;12;1;-1;-3;-3;4;-5;-10;1;1;-2;-1;-1;4;-1;-2;-16;-4;-1;0;1;-4;,0
3;-3;2;-3;-2;-3;0;9;2;8;4;1;0;-1;-2;-5;0;20;-17;-3;0;0;-2;-8;-3;6;12;1;-1;-3;-3;4;-5;-10;1;1;-2;-1;-1;4;-1;-2;-16;-4;-1;0;1;-4;-3;0;0;-4;1;0;-3;-2;1;-8;12;5;-2;1;0;-4;,0
3;-3;2;-3;-2;-3;0;9;2;8;4;1;0;-1;-2;-5;0;20;-17;-3;0;0;-2;-8;-3;6;12;1;-1;-3;-3;4;-5;-10;1;1;-2;-1;-1;4;-1;-2;-16;-4;-1;0;1;-4;-3;0;0;-4;1;0;-3;-2;1;-8;12;5;-2;1;0;-4;,0
-3;0;0;-4;1;0;-3;-2;1;-8;12;5;-2;1;0;-4;2;8;1;0;-1;0;1;2;-2;-12;5;-2;-1;-2;-1;-6;-5;-3;8;1;-1;-3;0;8;1;-1;-13;-4;0;0;1;-8;-5;21;1;-2;-1;0;1;6;-3;-6;13;5;0;0;-2;-8;,0
-5;-3;8;1;-1;-3;0;8;1;-1;-13;-4;0;0;1;-8;-5;21;1;-2;-1;0;1;6;-3;-6;13;5;0;0;-2;-8;-15;-13;-14;-7;-1;-1;-1;3;0;2;2;0;0;0;-2;2;1;-13;-6;-2;-2;-2;-2;-5;2;2;7;-1;1;1;-2;-2;,0
-5;-3;8;1;-1;-3;0;8;1;-1;-13;-4;0;0;1;-8;-5;21;1;-2;-1;0;1;6;-3;-6;13;5;0;0;-2;-8;-15;-13;-14;-7;-1;-1;-1;3;0;2;2;0;0;0;-2;2;1;-13;-6;-2;-2;-2;-2;-5;2;2;7;-1;1;1;-2;-2;,0
-5;21;1;-2;-1;0;1;6;-3;-6;13;5;0;0;-2;-8;-15;-13;-14;-7;-1;-1;-1;3;0;2;2;0;0;0;-2;2;1;-13;-6;-2;-2;-2;-2;-5;2;2;7;-1;1;1;-2;-2;2;1;-21;-4;-2;-1;-1;1;1;-3;8;-2;-2;-1;2;12;,0
1;-13;-6;-2;-2;-2;-2;-5;2;2;7;-1;1;1;-2;-2;2;1;-21;-4;-2;-1;-1;1;1;-3;8;-2;-2;-1;2;12;-10;-14;-18;-3;-3;-1;-2;-36;1;24;0;-4;-1;-1;-3;-1;4;-16;14;4;-1;0;0;17;-5;21;-5;0;0;1;0;-13;,0
2;1;-21;-4;-2;-1;-1;1;1;-3;8;-2;-2;-1;2;12;-10;-14;-18;-3;-3;-1;-2;-36;1;24;0;-4;-1;-1;-3;-1;4;-16;14;4;-1;0;0;17;-5;21;-5;0;0;1;0;-13;2;1;8;1;2;-1;1;12;-7;-20;-2;-3;-2;0;2;3;,0
-10;-14;-18;-3;-3;-1;-2;-36;1;24;0;-4;-1;-1;-3;-1;4;-16;14;4;-1;0;0;17;-5;21;-5;0;0;1;0;-13;2;1;8;1;2;-1;1;12;-7;-20;-2;-3;-2;0;2;3;1;6;-3;-3;-1;-1;0;-2;-1;-11;-11;-6;1;-1;-2;1;,0
2;1;8;1;2;-1;1;12;-7;-20;-2;-3;-2;0;2;3;1;6;-3;-3;-1;-1;0;-2;-1;-11;-11;-6;1;-1;-2;1;0;2;6;3;-1;-1;-1;3;2;2;-12;-3;-2;-3;-2;-2;1;12;0;-2;1;0;-1;1;-10;-14;11;4;0;-2;0;-6;,0
1;6;-3;-3;-1;-1;0;-2;-1;-11;-11;-6;1;-1;-2;1;0;2;6;3;-1;-1;-1;3;2;2;-12;-3;-2;-3;-2;-2;1;12;0;-2;1;0;-1;1;-10;-14;11;4;0;-2;0;-6;1;-3;3;-4;-2;-1;-2;2;1;14;-39;-6;-2;-1;-2;-1;,0
0;2;6;3;-1;-1;-1;3;2;2;-12;-3;-2;-3;-2;-2;1;12;0;-2;1;0;-1;1;-10;-14;11;4;0;-2;0;-6;1;-3;3;-4;-2;-1;-2;2;1;14;-39;-6;-2;-1;-2;-1;0;3;1;-2;-1;-2;-1;-4;1;9;-3;-4;-2;-1;0;-3;,0
1;12;0;-2;1;0;-1;1;-10;-14;11;4;0;-2;0;-6;1;-3;3;-4;-2;-1;-2;2;1;14;-39;-6;-2;-1;-2;-1;0;3;1;-2;-1;-2;-1;-4;1;9;-3;-4;-2;-1;0;-3;-2;-13;-13;-6;0;-1;-2;-1;-5;-5;36;7;-2;-1;-1;0;,0
1;-3;3;-4;-2;-1;-2;2;1;14;-39;-6;-2;-1;-2;-1;0;3;1;-2;-1;-2;-1;-4;1;9;-3;-4;-2;-1;0;-3;-2;-13;-13;-6;0;-1;-2;-1;-5;-5;36;7;-2;-1;-1;0;-1;-22;4;9;0;-2;-2;0;1;14;0;-1;-2;-2;-2;-16;,0
-2;-13;-13;-6;0;-1;-2;-1;-5;-5;36;7;-2;-1;-1;0;-1;-22;4;9;0;-2;-2;0;1;14;0;-1;-2;-2;-2;-16;-7;-3;3;1;0;-1;-1;1;4;-11;0;-2;-1;0;0;0;-1;19;0;-2;-1;-1;-2;-2;2;-10;-1;-1;-1;-3;-1;0;,0
-1;-22;4;9;0;-2;-2;0;1;14;0;-1;-2;-2;-2;-16;-7;-3;3;1;0;-1;-1;1;4;-11;0;-2;-1;0;0;0;-1;19;0;-2;-1;-1;-2;-2;2;-10;-1;-1;-1;-3;-1;0;0;6;7;1;-1;0;-2;-5;-4;-15;-60;-13;-2;-2;0;-4;,0
-7;-3;3;1;0;-1;-1;1;4;-11;0;-2;-1;0;0;0;-1;19;0;-2;-1;-1;-2;-2;2;-10;-1;-1;-1;-3;-1;0;0;6;7;1;-1;0;-2;-5;-4;-15;-60;-13;-2;-2;0;-4;-1;4;17;2;-1;-1;-2;-1;3;-5;0;1;-1;-1;-1;5;,0
-1;19;0;-2;-1;-1;-2;-2;2;-10;-1;-1;-1;-3;-1;0;0;6;7;1;-1;0;-2;-5;-4;-15;-60;-13;-2;-2;0;-4;-1;4;17;2;-1;-1;-2;-1;3;-5;0;1;-1;-1;-1;5;1;6;-4;-1;0;0;-2;4;0;2;8;3;-2;-2;-2;1;,0
0;6;7;1;-1;0;-2;-5;-4;-15;-60;-13;-2;-2;0;-4;-1;4;17;2;-1;-1;-2;-1;3;-5;0;1;-1;-1;-1;5;1;6;-4;-1;0;0;-2;4;0;2;8;3;-2;-2;-2;1;-2;5;10;-5;-3;-1;-1;0;-4;-8;-8;-3;-2;0;-1;0;,0
1;6;-4;-1;0;0;-2;4;0;2;8;3;-2;-2;-2;1;-2;5;10;-5;-3;-1;-1;0;-4;-8;-8;-3;-2;0;-1;0;1;2;40;11;-2;-2;-1;-1;-2;-29;-61;-17;0;-2;-1;-2;-3;7;15;6;1;-1;-1;-4;-2;-24;-4;-6;-1;-1;-3;-2;,0
-2;5;10;-5;-3;-1;-1;0;-4;-8;-8;-3;-2;0;-1;0;1;2;40;11;-2;-2;-1;-1;-2;-29;-61;-17;0;-2;-1;-2;-3;7;15;6;1;-1;-1;-4;-2;-24;-4;-6;-1;-1;-3;-2;0;16;3;0;0;-2;-2;0;1;3;11;2;2;0;-1;-1;,0
1;2;40;11;-2;-2;-1;-1;-2;-29;-61;-17;0;-2;-1;-2;-3;7;15;6;1;-1;-1;-4;-2;-24;-4;-6;-1;-1;-3;-2;0;16;3;0;0;-2;-2;0;1;3;11;2;2;0;-1;-1;-3;-4;-1;-2;-2;-1;-1;-5;2;-10;-3;-1;0;-1;-2;1;,0
-3;7;15;6;1;-1;-1;-4;-2;-24;-4;-6;-1;-1;-3;-2;0;16;3;0;0;-2;-2;0;1;3;11;2;2;0;-1;-1;-3;-4;-1;-2;-2;-1;-1;-5;2;-10;-3;-1;0;-1;-2;1;-6;-7;-9;-4;-1;1;1;9;-2;8;27;7;-4;-2;0;-7;,0
0;16;3;0;0;-2;-2;0;1;3;11;2;2;0;-1;-1;-3;-4;-1;-2;-2;-1;-1;-5;2;-10;-3;-1;0;-1;-2;1;-6;-7;-9;-4;-1;1;1;9;-2;8;27;7;-4;-2;0;-7;0;-1;-6;-2;0;0;1;27;-2;9;5;5;0;-3;-6;-40;,0
-6;-7;-9;-4;-1;1;1;9;-2;8;27;7;-4;-2;0;-7;0;-1;-6;-2;0;0;1;27;-2;9;5;5;0;-3;-6;-40;12;-3;-14;-5;-3;-1;-1;7;-4;7;20;-1;0;-1;-1;-7;-4;-5;-30;-4;-2;-1;1;-2;2;7;0;-1;-3;-1;0;15;,0
0;-1;-6;-2;0;0;1;27;-2;9;5;5;0;-3;-6;-40;12;-3;-14;-5;-3;-1;-1;7;-4;7;20;-1;0;-1;-1;-7;-4;-5;-30;-4;-2;-1;1;-2;2;7;0;-1;-3;-1;0;15;-4;-3;-11;-2;-1;-1;0;-1;1;18;19;3;0;1;-1;-4;,0
12;-3;-14;-5;-3;-1;-1;7;-4;7;20;-1;0;-1;-1;-7;-4;-5;-30;-4;-2;-1;1;-2;2;7;0;-1;-3;-1;0;15;-4;-3;-11;-2;-1;-1;0;-1;1;18;19;3;0;1;-1;-4;2;-2;10;2;-1;-2;-2;-7;-3;3;14;-3;1;-1;-1;4;,0
-4;-5;-30;-4;-2;-1;1;-2;2;7;0;-1;-3;-1;0;15;-4;-3;-11;-2;-1;-1;0;-1;1;18;19;3;0;1;-1;-4;2;-2;10;2;-1;-2;-2;-7;-3;3;14;-3;1;-1;-1;4;-1;9;-15;-6;-2;-1;-2;-8;-1;-21;24;6;-1;-1;0;6;,0
-4;-3;-11;-2;-1;-1;0;-1;1;18;19;3;0;1;-1;-4;2;-2;10;2;-1;-2;-2;-7;-3;3;14;-3;1;-1;-1;4;-1;9;-15;-6;-2;-1;-2;-8;-1;-21;24;6;-1;-1;0;6;-2;-3;-11;-6;-2;-1;0;-6;1;13;-3;1;-1;0;1;2;,0
